oracle    | moderate   | tail_difficulty    | 92/100 | selected=251 | p_mult=0.0225
oracle    | moderate   | tail_difficulty    | 93/100 | selected=245 | p_mult=0.515
oracle    | moderate   | tail_difficulty    | 94/100 | selected=237 | p_mult=0.72
oracle    | moderate   | tail_difficulty    | 95/100 | selected=246 | p_mult=0.595
oracle    | moderate   | tail_difficulty    | 96/100 | selected=230 | p_mult=0.3725
oracle    | moderate   | tail_difficulty    | 97/100 | selected=250 | p_mult=0.9875
oracle    | moderate   | tail_difficulty    | 98/100 | selected=242 | p_mult=0.69
oracle    | moderate   | tail_difficulty    | 99/100 | selected=230 | p_mult=0.195
oracle    | moderate   | tail_difficulty    | 100/100 | selected=239 | p_mult=0.32
oracle    | moderate   | combined           | 1/100 | selected=246 | p_mult=0.2875
oracle    | moderate   | combined           | 2/100 | selected=240 | p_mult=0.7225
oracle    | moderate   | combined           | 3/100 | selected=224 | p_mult=0.35
oracle    | moderate   | combined           | 4/100 | selected=247 | p_mult=0.39
oracle    | moderate   | combined           | 5/100 | selected=228 | p_mult=0.6525
oracle    | moderate   | combined           | 6/100 | selected=251 | p_mult=0.7175
oracle    | moderate   | combined           | 7/100 | selected=238 | p_mult=0.655
oracle    | moderate   | combined           | 8/100 | selected=251 | p_mult=0.49
oracle    | moderate   | combined           | 9/100 | selected=235 | p_mult=0.41
oracle    | moderate   | combined           | 10/100 | selected=244 | p_mult=0.6775
oracle    | moderate   | combined           | 11/100 | selected=246 | p_mult=0.2475
oracle    | moderate   | combined           | 12/100 | selected=248 | p_mult=0.2275
oracle    | moderate   | combined           | 13/100 | selected=227 | p_mult=0.9075
oracle    | moderate   | combined           | 14/100 | selected=239 | p_mult=0.9425
oracle    | moderate   | combined           | 15/100 | selected=236 | p_mult=0.5725
oracle    | moderate   | combined           | 16/100 | selected=269 | p_mult=0.65
oracle    | moderate   | combined           | 17/100 | selected=233 | p_mult=0.73
oracle    | moderate   | combined           | 18/100 | selected=217 | p_mult=0.025
oracle    | moderate   | combined           | 19/100 | selected=238 | p_mult=0.675
oracle    | moderate   | combined           | 20/100 | selected=220 | p_mult=0.3625
oracle    | moderate   | combined           | 21/100 | selected=231 | p_mult=0.485
oracle    | moderate   | combined           | 22/100 | selected=257 | p_mult=0.4175
oracle    | moderate   | combined           | 23/100 | selected=254 | p_mult=0.9525
oracle    | moderate   | combined           | 24/100 | selected=246 | p_mult=0.5375
oracle    | moderate   | combined           | 25/100 | selected=209 | p_mult=0.945
oracle    | moderate   | combined           | 26/100 | selected=252 | p_mult=0.03
oracle    | moderate   | combined           | 27/100 | selected=248 | p_mult=0.0025
oracle    | moderate   | combined           | 28/100 | selected=247 | p_mult=0.9425
oracle    | moderate   | combined           | 29/100 | selected=223 | p_mult=0.8175
oracle    | moderate   | combined           | 30/100 | selected=227 | p_mult=0.4575
oracle    | moderate   | combined           | 31/100 | selected=231 | p_mult=0.2
oracle    | moderate   | combined           | 32/100 | selected=234 | p_mult=0.8275
oracle    | moderate   | combined           | 33/100 | selected=270 | p_mult=0.2825
oracle    | moderate   | combined           | 34/100 | selected=235 | p_mult=0.58
oracle    | moderate   | combined           | 35/100 | selected=224 | p_mult=0.4575
oracle    | moderate   | combined           | 36/100 | selected=245 | p_mult=0.1075
oracle    | moderate   | combined           | 37/100 | selected=261 | p_mult=0.875
oracle    | moderate   | combined           | 38/100 | selected=244 | p_mult=0.7125
oracle    | moderate   | combined           | 39/100 | selected=243 | p_mult=0.52
oracle    | moderate   | combined           | 40/100 | selected=261 | p_mult=0.83
oracle    | moderate   | combined           | 41/100 | selected=234 | p_mult=0.755
oracle    | moderate   | combined           | 42/100 | selected=256 | p_mult=0.54
oracle    | moderate   | combined           | 43/100 | selected=235 | p_mult=0.77
oracle    | moderate   | combined           | 44/100 | selected=219 | p_mult=0.85
oracle    | moderate   | combined           | 45/100 | selected=247 | p_mult=0.7375
oracle    | moderate   | combined           | 46/100 | selected=226 | p_mult=0.5975
oracle    | moderate   | combined           | 47/100 | selected=252 | p_mult=0.3625
oracle    | moderate   | combined           | 48/100 | selected=229 | p_mult=0.65
oracle    | moderate   | combined           | 49/100 | selected=256 | p_mult=0.7775
oracle    | moderate   | combined           | 50/100 | selected=246 | p_mult=0.3775
oracle    | moderate   | combined           | 51/100 | selected=267 | p_mult=0.0025
