assignment,knot_id_base
random_seed_20260831,14n08510
random_seed_20260831,14n09219
random_seed_20260831,14n09274
random_seed_20260831,14n09525
random_seed_20260831,14n09742
random_seed_20260831,14n10320
random_seed_20260831,14n11242
random_seed_20260831,14n11322
random_seed_20260831,14n11799
random_seed_20260831,14n12201
random_seed_20260831,14n12557
random_seed_20260831,14n12701
random_seed_20260831,14n13191
random_seed_20260831,14n14620
random_seed_20260831,14n15856
random_seed_20260831,14n16364
random_seed_20260831,14n17435
random_seed_20260831,14n18079
random_seed_20260831,14n18217
random_seed_20260831,14n18339
random_seed_20260831,14n19749
random_seed_20260831,14n19763
random_seed_20260831,14n19768
random_seed_20260831,14n19772
random_seed_20260831,14n19894
random_seed_20260831,14n19947
random_seed_20260831,14n19984
random_seed_20260831,14n20188
random_seed_20260831,14n20375
random_seed_20260831,14n20382
random_seed_20260831,14n20459
random_seed_20260831,14n20460
random_seed_20260831,14n20467
random_seed_20260831,14n20475
random_seed_20260831,14n20483
random_seed_20260831,14n20502
random_seed_20260831,14n20614
random_seed_20260831,14n20618
random_seed_20260831,14n20624
random_seed_20260831,14n20639
random_seed_20260831,14n20644
random_seed_20260831,14n20645
random_seed_20260831,14n20656
random_seed_20260831,14n20679
random_seed_20260831,14n20750
random_seed_20260831,14n20757
random_seed_20260831,14n20761
random_seed_20260831,14n20789
random_seed_20260831,14n20975
random_seed_20260831,14n21024
random_seed_20260831,14n21085
random_seed_20260831,14n21324
random_seed_20260831,14n21717
random_seed_20260831,14n21881
random_seed_20260831,14n22068
random_seed_20260831,14n22108
random_seed_20260831,14n22361
random_seed_20260831,14n23835
random_seed_20260831,14n24120
random_seed_20260831,14n24551
random_seed_20260831,14n24763
random_seed_20260831,14n24778
random_seed_20260831,14n27179
random_seed_20260831,14n27214
random_seed_20260831,14n27436
random_seed_20260831,15a51218
random_seed_20260831,15a54584
random_seed_20260831,15a54664
random_seed_20260831,15a54670
random_seed_20260831,15a54813
random_seed_20260831,15a58615
random_seed_20260831,15a58637
random_seed_20260831,15a58650
random_seed_20260831,15a67050
random_seed_20260831,15a69409
random_seed_20260831,15a74186
random_seed_20260831,15a74300
random_seed_20260831,15a74865
random_seed_20260831,15a78720
random_seed_20260831,15a78793
random_seed_20260831,15a78843
random_seed_20260831,15a81420
random_seed_20260831,15a82172
random_seed_20260831,15a82178
random_seed_20260831,15a83944
random_seed_20260831,15a84245
random_seed_20260831,15a84772
random_seed_20260831,15a84787
random_seed_20260831,15a84789
random_seed_20260831,15a85074
random_seed_20260831,15a85170
random_seed_20260831,15a85181
random_seed_20260831,15a85182
random_seed_20260831,15a85193
random_seed_20260831,15a85240
random_seed_20260831,15a85245
random_seed_20260831,15a85246
random_seed_20260831,15a85258
random_seed_20260831,15a85259
random_seed_20260831,15n005552
random_seed_20260831,15n005607
random_seed_20260831,15n005788
random_seed_20260831,15n005900
random_seed_20260831,15n006107
random_seed_20260831,15n006125
random_seed_20260831,15n008500
random_seed_20260831,15n012212
random_seed_20260831,15n012301
random_seed_20260831,15n012482
random_seed_20260831,15n012642
random_seed_20260831,15n012951
random_seed_20260831,15n013123
random_seed_20260831,15n013472
random_seed_20260831,15n013551
random_seed_20260831,15n013955
random_seed_20260831,15n015791
random_seed_20260831,15n017769
random_seed_20260831,15n018530
random_seed_20260831,15n018579
random_seed_20260831,15n022152
random_seed_20260831,15n022172
random_seed_20260831,15n022479
random_seed_20260831,15n022530
random_seed_20260831,15n022790
random_seed_20260831,15n022987
random_seed_20260831,15n024760
random_seed_20260831,15n024851
random_seed_20260831,15n025153
random_seed_20260831,15n026021
random_seed_20260831,15n027181
random_seed_20260831,15n030427
random_seed_20260831,15n030452
random_seed_20260831,15n030953
random_seed_20260831,15n031211
random_seed_20260831,15n031235
random_seed_20260831,15n031240
random_seed_20260831,15n031888
random_seed_20260831,15n031932
random_seed_20260831,15n032227
random_seed_20260831,15n032574
